family	ERR688358	ERR688359	ERR688360	ERR688361	ERR688362	ERR688363	ERR688364	ERR688365	ERR688366	ERR688367	ERR688368	ERR688369	ERR688370	ERR688371	ERR688372	ERR688373	ERR688374	ERR688375	ERR688376	ERR688377	ERR688378	ERR688379	ERR688380	ERR688381	ERR688382	ERR688383	ERR688384	ERR688385	ERR688386	ERR688387	ERR688388	ERR688389	ERR688390	ERR688391	ERR688392	ERR688393	ERR688394	ERR688395	ERR688396	ERR688397	ERR688398	ERR688399	ERR688400	ERR688401	ERR688402	ERR688403	ERR688404	ERR688405	ERR688406	ERR688407	ERR688408	ERR688409	ERR688410	ERR688411	ERR688412	ERR688413	ERR688414	ERR688415	ERR688416	ERR688417	ERR688418	ERR688419	ERR688420	ERR688421	ERR688422	ERR688423	ERR688424	ERR688425	ERR688426	ERR688427	ERR688428	ERR688429	ERR688430	ERR688431	ERR688432	ERR688433	ERR688434	ERR688435	ERR688436	ERR688437	ERR688438	ERR688439	ERR688440	ERR688441	ERR688442	ERR688443	ERR688444	ERR688445	ERR688446	ERR688447	ERR688448	ERR688449	ERR688450	ERR688451	ERR688452	ERR688453	ERR688454	ERR688455	ERR688456	ERR688457	ERR688458	ERR688459	ERR688460	ERR688461	ERR688462	ERR688463	ERR688464	ERR688465	ERR688466	ERR688467	ERR688468	ERR688469	ERR688470	ERR688471	ERR688472	ERR688473	ERR688474	ERR688475	ERR688476	ERR688477	ERR688478	ERR688479	ERR688480	ERR688481	ERR688482	ERR688483	ERR688484	ERR688485	ERR688486	ERR688487	ERR688488	ERR688489	ERR688490	ERR688491	ERR688492	ERR688493	ERR688494	ERR688495	ERR688496	ERR688497	ERR688498	ERR688499	ERR688500	ERR688501	ERR688502	ERR688503	ERR688504	ERR688506	ERR688507	ERR688508	ERR688509	ERR688510	ERR688511	ERR688512	ERR688513	ERR688514	ERR688515	ERR688516	ERR688517	ERR688518	ERR688519	ERR688520	ERR688521	ERR688522	ERR688523	ERR688524	ERR688525	ERR688526	ERR688527	ERR688528	ERR688529	ERR688530	ERR688531	ERR688532	ERR688533	ERR688534	ERR688535	ERR688536	ERR688537	ERR688538	ERR688539	ERR688540	ERR688541	ERR688542	ERR688543	ERR688544	ERR688545	ERR688546	ERR688547	ERR688548	ERR688549	ERR688550	ERR688551	ERR688552	ERR688553	ERR688554	ERR688555	ERR688556	ERR688557	ERR688558	ERR688559	ERR688560	ERR688561	ERR688562	ERR688563	ERR688564	ERR688565	ERR688566	ERR688567	ERR688568	ERR688569	ERR688570	ERR688571	ERR688572	ERR688573	ERR688574	ERR688575	ERR688576	ERR688577	ERR688578	ERR688580	ERR688581	ERR688582	ERR688583	ERR688584	ERR688585	ERR688586	ERR688588	ERR688589	ERR688590	ERR688591	ERR688592	ERR688593	ERR688594	ERR688595	ERR688596	ERR688597	ERR688598	ERR688599	ERR688600	ERR688601	ERR688602	ERR688603	ERR688604	ERR688605	ERR688606	ERR688607	ERR688608	ERR688609	ERR688610	ERR688611	ERR688612	ERR688613	ERR688614	ERR688615	ERR688616	ERR688617	ERR688618	ERR688619	ERR688620	ERR688621	ERR688622	ERR688623	ERR688624	ERR688625	ERR688626	ERR688627	ERR688628	ERR688629	ERR688630	ERR688631	ERR688632	ERR688633	ERR688634	ERR688635	ERR688636	ERR688637	ERR688638	ERR688639	ERR688640	ERR688641	ERR688642	ERR688643	ERR688644	ERR688645	ERR688646	ERR688647	ERR688648	ERR688649	ERR688650	ERR688651	ERR710415	ERR710416	ERR710417	ERR710418	ERR710419	ERR710420	ERR710421	ERR710422	ERR710423	ERR710424	ERR710425	ERR710426	ERR710427	ERR710428	ERR710429	ERR710430	ERR710431	ERR710432
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae	2	0	0	4	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	3	0	0	0	1	0	3	0	1	1	0	0	2	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	2	2	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	2	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	4	0	0	2	0	0	0	0	0	0	0	1	0	0	0	4	0	1	0	1	1	0	1	0	0	0	1	0	4	0	1	1	0	6	7	1	0	0	0	2	2	0	0	1	5	0	0	0	1	0	3	1	2	0	2	0	1	1	0	1	0	0	2	3	1	0	2	0	0	0	2	1	0	4	0	0	0	0	1	1	0	0	2	4	4	1	1	1	1	0	0	3	0	0	0	1	0	0	0	6	1	0	0	2	0	0	3	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	2	1	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae	0	0	0	0	0	2	1	5	1	0	1	3	1	0	0	1	0	0	0	0	1	0	1	0	2	1	1	0	0	1	0	0	0	3	4	0	1	0	1	1	0	0	0	1	3	0	0	0	1	0	0	1	0	0	0	0	0	5	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	2	1	2	0	1	0	1	0	0	1	1	1	2	0	1	0	0	0	0	1	1	0	2	0	1	0	0	1	0	2	1	1	0	1	0	0	0	4	0	3	1	2	1	0	0	0	2	3	1	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	3	5	1	0	2	1	0	1	1	2	2	1	0	1	4	0	2	1	0	13	0	1	3	1	2	0	5	1	1	2	0	4	1	1	0	1	2	4	3	1	0	0	4	1	1	0	4	0	0	0	8	1	0	1	2	4	0	0	0	1	2	0	1	2	1	0	1	0	1	2	0	1	2	1	3	0	0	0	0	1	0	0	1	5	8	5	0	1	7	0	1	0	2	4	1	1	1	0	4	2	1	2	3	4	1	0	1	0	1	5	0	2	1	1	0	5	2	2	1	2	3	3	0	1	0	1	0	7	2	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	3	1	0	1	2	3	0	2
d__Bacteria|p__Armatimonadetes|c__Chthonomonadetes|o__Chthonomonadales|f__Chthonomonadaceae	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	1	0	1	0	0	0	0	8	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	15	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	2	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	2	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	9722	9047	4553	8146	3709	8428	926	165	3501	1237	4596	1560	2747	4129	460	6508	649	2657	2404	26891	1960	7205	2072	11517	9323	3759	2552	22164	18666	3334	9986	4511	1629	1251	1526	6912	109026	5677	57536	4126	8092	2036	804	3107	13295	1598	7412	1942	2370	849	130	4005	298	1925	2565	269	211	148	9120	5182	7727	945	5882	1639	9670	12758	856	1244	5119	8786	53726	5649	36082	45088	27486	1383	40473	8748	63296	750	1845	38503	1108	241	2255	15579	739	7265	3977	764	5167	5590	4188	712	3112	14212	4235	81	796	8108	3133	9406	297	3058	2370	2386	3868	350	240	11458	295	3832	578	12139	17262	1692	1290	1567	4100	2129	6622	8045	12748	5712	47110	9812	10817	6654	41908	7247	5427	4325	7141	4777	32515	2747	3353	20635	13126	21613	50139	27150	6344	261917	44223	67193	5027	10233	6614	15031	5860	5382	1117	118	3669	2143	15052	3757	5183	7111	656	13382	557	770	3400	64416	6343	12074	3966	14784	13199	5912	2291	43619	29070	4730	9028	4869	719	1620	1151	17061	191190	6110	220983	6101	19954	1363	1787	3586	13684	2262	10476	2212	3408	1022	162	720	293	6300	3607	331	183	63	12775	6246	10028	2670	21977	3751	16439	26219	1344	2047	15632	21055	104935	16198	68259	98358	3078	136378	13345	139472	126	600	82162	306	2621	32894	1192	8199	7285	1231	9313	8330	3544	554	4937	19177	9646	50	1435	24582	5910	14512	253	5261	3927	3386	4552	592	252	17464	356	6368	1133	26992	27263	2462	149	188	7313	2301	11769	14118	26590	15118	107275	14438	16062	7287	59274	15668	21075	6078	19969	2785	73903	4537	8615	50613	27298	83252	122683	39010	22109	648366	92232	171395	11497	6324	18906	2795	17207	7697	7007	3644	5857	6442	25353	70648	9366	65334	27908	24390	6613	22123	24169
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	217	1597	239	1204	89	1003	256	4324	1613	137	482	372	712	288	99	392	127	70	238	622	272	590	212	1386	1027	197	46	3642	1442	556	1265	523	436	111	158	731	20797	421	3405	502	318	227	195	599	156	61	841	354	443	941	46	103	88	261	299	13	13	18	330	1228	1296	78	774	122	4323	1537	65	100	628	2292	8544	1210	8088	5762	5102	430	4777	2259	6815	36	221	437	275	368	742	1090	244	719	256	84	287	592	843	77	254	1841	2131	345	132	356	577	281	15	386	815	1102	195	106	75	2205	84	1019	50	400	16510	173	216	135	617	702	3320	1071	2641	211	430	1817	88	1764	4098	822	2457	289	1083	869	4747	136	248	25195	455	5524	542	1209	1402	863	1785	8965	623	1443	378	2030	114	634	295	5773	3532	220	1396	740	1395	497	76	718	195	18	311	1308	733	949	368	1621	1394	289	22	6476	1936	884	1322	983	175	90	84	1514	32014	517	11663	692	743	272	376	627	162	12	1213	333	550	1008	55	187	91	614	401	11	1	4	432	1435	1536	206	2371	239	6782	2746	13	68	1501	6032	14272	3581	14383	11517	892	13718	3021	10903	13	128	834	536	850	2033	319	769	498	162	434	763	916	5	287	1949	4966	578	214	904	943	391	3	618	1206	1434	194	281	77	3552	105	1567	60	727	26120	198	194	89	1067	826	6470	1932	5339	268	915	3044	160	2412	5073	1657	9543	340	3270	331	9867	145	389	56508	806	18316	105	1487	4179	1923	3468	19372	1376	441	2883	1736	2066	1401	1454	745	780	2166	1442	9826	5813	6995	4524	4468	1131	2435	7749
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	3	23	16	16	10	8	15	3	6	24	30	4	70	9	5	14	31	4	20	32	17	22	40	30	18	73	1	12	19	28	14	37	5	9	9	11	167	10	8	14	66	21	40	57	10	4	69	8	33	9	10	11	4	22	25	6	5	19	3	16	12	4	18	27	66	675	16	6	19	66	1309	99	34	68	76	21	650	93	1114	2	75	30	17	39	15	31	4	40	11	2	15	12	80	8	7	14	9	8	6	84	4	3	1	6	33	55	25	8	10	20	8	11	5	3177	30	3	7	48	13	324	23	246	49	18	21	348	46	38	41	131	157	46	1248	39	24	45	8	16	1670	421	17	63	17	15	22	35	18	17	15	20	12	4	15	3	12	46	108	22	65	8	9	23	74	7	20	64	57	34	40	37	25	114	6	23	26	38	15	47	7	9	7	39	215	16	23	13	175	51	75	58	7	3	107	5	35	1	11	11	5	26	30	6	4	24	7	23	8	9	16	61	90	1319	8	12	42	125	2649	221	70	59	19	1743	111	1971	2	152	34	84	18	63	11	29	18	2	20	14	37	5	8	7	20	8	2	278	10	6	2	8	48	56	16	21	25	30	13	26	14	7041	42	6	7	82	13	397	48	453	94	18	38	624	64	30	65	229	516	22	3707	32	50	3	16	24	3386	1420	11	101	30	28	22	73	11	81	56	14	16	23	14	4	27	34	186	196	13	32	37	43	4	74	72
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	3567	1694	3073	797	91	54	79	1309	179	472	257	183	397	52	59	1234	80	17	767	433	490	807	9501	2049	5874	143	5	1282	2832	512	1593	420	135	93	1576	1290	2331	619	538	500	379	93	506	218	267	43	1452	157	755	8	49	134	13	284	484	7	10	11	576	901	2566	18	2881	205	4474	1728	102	85	2213	1788	7883	1322	6392	10032	19574	282	7535	2146	1759	20	162	3914	120	47	2915	3241	33	2875	576	29	165	12183	551	27	43	2614	3167	40	707	2396	207	3014	25	1804	1893	310	770	312	61	2458	56	1005	217	3940	4293	112	55	35	2810	713	6944	1923	5762	4621	4009	7685	2842	3786	7266	4007	4696	540	1383	266	6061	137	625	22658	1324	444	319	11948	1951	529	1105	1293	963	1401	2919	1094	84	12	48	1373	260	659	380	373	493	65	57	1657	83	11	663	670	984	1023	14626	1744	5369	133	0	1786	3073	576	1137	464	85	41	554	2293	2867	588	1095	473	702	112	878	171	157	49	1208	58	805	1	49	159	10	465	504	1	0	6	555	823	2110	50	5499	339	5122	2277	48	82	3450	2473	9137	2158	8045	13490	496	12692	2602	1866	3	57	6172	29	2715	4977	22	3251	1101	15	196	11417	212	4	39	1880	5466	58	1077	4833	267	3115	3	2048	2531	256	467	499	39	3500	24	1276	352	5616	5399	101	49	17	3775	621	10796	2473	8499	8288	7191	10263	3131	4023	7081	4887	10149	603	2026	159	8208	147	929	26929	1928	976	355	10511	3563	1124	1450	1890	1408	3846	2163	229	2682	2968	1803	15	1215	8420	8322	5518	420	5642	6607	3817	21	2836	19229
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Amoebophilaceae	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	11	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	4	0	0	0	0	0
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae	0	1	0	1	0	0	0	1	0	0	0	0	5	0	1	0	2	0	0	1	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	2	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	4	0	0	1	0	2	1	0	0	0	0	0	0	5	0	0	0	2	2	0	1	0	0	0	0	0	0	0	1	2	0	1	2	1	0	0	0	0	1	0	1	0	1	1	0	0	1	3	0	0	0	0	1	0	1	1	2	2	0	0	4	0	0	3	2	2	0	0	1	1	3	0	1	2	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	2	2	2	0	1	0	0	0	0	0	0	0	0	1	1	0	3	1	0	0	2	0	0	0	0	3	1	0	0	0	0	0	2	0	0	1	0	0	0	2	6	1	1	0	1	1	0	0	1	0	1	0	1	0	2	3	2	0	0	2
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae	0	7	4	12	6	1	0	11	1	3	1	3	1	7	4	0	0	3	3	3	0	3	6	5	5	5	0	0	6	1	2	0	1	0	7	0	3	2	1	3	1	3	1	1	3	2	5	1	3	11	1	1	0	1	7	10	0	6	5	6	3	0	1	2	5	2	1	0	2	6	4	4	5	18	3	3	5	2	7	1	0	0	0	0	7	3	1	1	0	9	3	5	4	2	2	3	2	0	0	2	0	2	2	2	3	11	0	2	5	4	4	6	0	3	4	0	0	1	3	12	6	4	3	9	7	4	6	5	7	4	2	5	1	0	1	2	1	5	11	6	1	2	2	4	4	5	4	7	5	13	8	3	2	16	13	4	4	5	14	1	3	2	6	3	5	4	1	11	6	4	5	4	0	3	6	0	3	3	0	3	7	4	1	4	4	1	0	3	3	6	0	2	7	0	3	14	2	1	1	5	8	10	0	4	13	5	6	3	7	1	14	5	4	0	7	7	15	9	9	26	2	6	5	13	4	3	6	0	8	4	7	11	3	17	2	3	6	0	3	1	8	2	2	9	1	1	0	4	5	13	2	3	4	3	9	6	0	4	10	1	0	4	6	10	9	4	14	7	15	6	8	7	7	8	6	5	3	1	14	7	1	15	17	13	5	5	8	12	7	13	2	2	1	3	1	1	1	1	0	1	3	12	14	9	8	4	3	7	4
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Flammeovirgaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	2	3	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	3	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Blattabacteriaceae	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	2	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	1	0	3	1	0	2	2	0	0	0	0	0	1	0	1	1	2	1	2	0	0	0	3	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	2	4	0	0	0	2	0	4	2	0	2	1	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	5	0	0	2	0	0	1	0	0	1	0	0	0	0	1	0	2	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	1	1	1	1	1	4	1	0	0	2	1	0	0	2	0	0	0	1	0	3	3	2	1	1	2	6	1	2	1	2	0	0	1	0	0	0	0	0	0	1	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0	4	1	0	2	1	4	1	0	0	6
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Cryomorphaceae	1	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	2	1	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	11	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	1	0	1	8	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	1	0	1	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	3	0	1	2	0	1	0	14	0	1	1	0	2	1	0	1	0	0	0	0	0	2	1	0	1	2	0	4	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	14	0	0	0	1	1	6	0	0	0	0	2	0	1	0	1	3	0	0	1	0	0	1	1	0	1	0	0	2	0	1	2	1	0	1	0	0	4	0
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	1	14	2	7	5	9	3	4	1	10	0	3	7	3	4	13	3	9	5	6	4	7	5	7	19	5	1	27	13	3	11	4	2	4	12	3	3	4	1	6	4	3	3	7	6	2	4	6	6	1	5	6	1	3	8	4	1	0	6	1	5	1	5	1	21	13	2	3	4	3	50	5	14	20	9	4	7	10	36	4	3	20	4	2	4	23	2	5	2	0	2	4	7	2	8	1	2	2	2	23	6	4	0	0	1	15	4	2	4	7	2	11	1	10	9	2	3	6	7	15	5	7	11	8	4	11	18	8	11	21	11	5	4	4	4	3	2	3	20	5	4	8	19	1	3	12	5	15	11	27	6	11	6	11	4	8	1	4	27	7	13	15	10	7	6	10	6	13	6	10	15	11	0	28	11	6	13	7	2	9	11	7	6	10	4	8	18	15	16	11	6	4	12	3	9	2	9	7	0	9	18	1	1	1	10	8	12	8	18	4	35	35	11	13	13	9	54	7	19	44	1	19	9	94	11	8	29	1	16	25	6	13	10	1	5	9	5	4	9	2	18	4	6	41	8	0	0	6	14	25	2	3	4	21	5	18	5	14	16	2	5	8	11	26	6	20	36	8	11	17	15	10	8	32	26	10	13	1	12	2	5	2	55	8	12	8	35	2	15	25	11	5	66	1	3	7	2	8	5	8	25	131	14	10	15	15	8	13	13
d__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Saprospiraceae	0	0	0	3	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	1	0	0	0	1	0	1	0	5	4	0	0	4	0	1	0	0	4	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	14	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	6	5	8	1	1	0	0	0	3	0	1	2	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	3	1	0	0	0	0	2	2	0	1	1	3	1	2	0	0	0	1	0	0	0	0	0	1	2	0	4	1	3	0	2	0	2	0	1	0	7	0	0	0	0	3	0	0	4	0	0	6	0	0	0	0	2	0	1	2	0	1	1	0	8	3	0	0	0	0	1	0	2	4	1	0	1	1	2	1	0	0	2	1	0	0	0	1	1	0	1	3	26	0	0	0	1	1	0	0	0	0	3	0	0	1	0	4	2	1	2	2	6	0	3	1	0	5	1	0	4	7	0	4	0	2	2	1	0	0	0	2	0	2	1	1	2	0	1	0	2	0	1	1	2	0	0	1	2	6	1	0	1	0	1	2	0	3	1	3	1	0	0	0	4	3	0	0	0	1	0	0	0	1	6	1	1	6	7	4	3	0	3	0	0	0	5	0	0	2	1	3	3	1	0	2	2	0	1	1
d__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae	0	4	4	0	0	1	1	6	0	2	0	2	11	1	3	1	1	2	6	2	1	0	2	1	6	2	1	1	2	0	0	0	7	4	5	1	2	0	0	2	3	1	1	2	4	3	6	3	1	3	0	3	3	3	7	0	8	2	0	1	3	2	0	0	0	1	1	1	1	0	2	2	1	1	13	1	0	2	1	1	2	2	4	2	5	3	1	5	1	2	2	0	1	0	6	5	0	0	2	2	0	1	3	2	5	7	4	1	3	3	1	3	2	1	2	0	1	5	1	10	2	0	4	1	2	3	0	0	1	4	1	2	2	0	3	1	0	0	0	2	0	3	1	0	0	0	0	4	3	0	8	1	5	6	0	2	3	2	14	5	0	1	4	1	1	2	4	4	3	5	0	5	3	3	5	1	2	1	12	2	3	3	1	0	3	2	1	3	1	3	3	3	0	2	2	5	2	1	3	2	10	0	11	5	0	2	5	4	4	7	1	3	4	2	5	1	3	7	7	2	7	1	2	2	6	1	3	6	2	8	0	2	1	3	2	5	1	8	10	0	2	3	6	1	2	1	4	0	3	10	2	10	3	7	2	7	3	1	1	0	7	5	5	18	5	3	3	3	4	2	2	2	2	10	3	5	11	0	0	2	2	5	0	8	0	3	2	0	3	1	0	0	1	0	1	0	2	2	2	1	0	1	2	8	1	8	4	3	3
d__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II_Incertae_sedis|f__Rhodothermaceae	3	0	0	1	2	1	0	0	0	4	0	1	8	0	0	4	0	0	3	3	0	1	4	3	2	3	1	1	1	0	2	2	1	0	0	4	0	0	0	6	1	1	0	4	0	2	1	2	1	1	2	0	2	3	3	0	0	0	1	1	7	0	0	0	1	2	0	3	1	6	2	1	1	3	4	1	2	4	0	1	1	4	1	0	10	1	0	2	3	0	2	0	2	0	1	9	1	1	4	1	2	1	0	7	1	8	4	0	1	2	1	0	2	1	4	0	1	0	3	10	1	1	4	0	3	7	3	4	2	1	1	4	1	0	0	1	1	0	1	0	0	1	1	0	2	0	2	2	4	2	3	1	0	8	0	5	8	3	4	1	1	1	2	0	3	6	0	1	2	6	2	3	0	3	0	0	1	2	4	2	1	4	3	0	0	8	3	2	2	1	0	1	1	1	1	3	1	1	0	3	2	0	0	0	0	0	0	3	2	1	3	0	0	1	3	4	2	4	6	1	0	1	1	1	3	0	6	1	7	1	1	2	3	1	3	3	1	0	1	0	2	1	5	10	0	1	0	1	3	3	1	4	2	5	1	4	3	4	4	2	1	2	2	7	0	6	13	2	0	7	1	3	9	4	6	0	1	0	3	0	3	3	0	1	0	2	3	0	3	1	1	3	0	0	3	0	2	1	0	0	8	2	0	5	2	1	0	0	1
